05:00:00	0:04:42
05:02:08	0:04:14
05:04:17	0:04:37
05:06:25	0:04:16
05:08:34	0:05:06
05:10:42	0:03:45
05:12:51	0:04:06
05:15:00	0:04:25
05:17:08	0:04:03
05:19:17	0:04:20
05:21:25	0:04:26
05:23:34	0:03:41
05:25:42	0:04:36
05:27:51	0:04:21
05:30:00	0:03:23
05:31:25	0:04:35
05:32:51	0:04:29
05:34:17	0:04:53
05:35:42	0:04:07
05:37:08	0:03:44
05:38:34	0:04:16
05:40:00	0:04:52
05:41:25	0:04:53
05:42:51	0:03:24
05:44:17	0:04:08
05:45:42	0:03:49
05:47:08	0:04:39
05:48:34	0:03:15
05:50:00	0:04:11
05:51:25	0:05:07
05:52:51	0:04:30
05:54:17	0:04:26
05:55:42	0:05:15
05:57:08	0:03:45
05:58:34	0:04:49
06:00:00	0:04:51
06:00:41	0:04:06
06:01:23	0:04:32
06:02:05	0:04:16
06:02:47	0:04:50
06:03:29	0:05:11
06:04:11	0:03:57
06:04:53	0:04:36
06:05:34	0:04:39
06:06:16	0:04:45
06:06:58	0:04:45
06:07:40	0:04:33
06:08:22	0:04:34
06:09:04	0:04:22
06:09:46	0:04:36
06:10:27	0:04:49
06:11:09	0:03:34
06:11:51	0:05:06
06:12:33	0:04:48
06:13:15	0:04:15
06:13:57	0:04:08
06:14:39	0:05:18
06:15:20	0:04:56
06:16:02	0:04:38
06:16:44	0:03:37
06:17:26	0:05:18
06:18:08	0:04:37
06:18:50	0:05:05
06:19:32	0:04:56
06:20:13	0:04:29
06:20:55	0:04:49
06:21:37	0:04:59
06:22:19	0:04:17
06:23:01	0:04:47
06:23:43	0:04:16
06:24:25	0:05:30
06:25:06	0:04:38
06:25:48	0:05:07
06:26:30	0:04:15
06:27:12	0:04:14
06:27:54	0:04:44
06:28:36	0:03:59
06:29:18	0:03:58
06:30:00	0:05:21
06:30:31	0:05:11
06:31:03	0:04:13
06:31:34	0:05:08
06:32:06	0:04:23
06:32:37	0:03:31
06:33:09	0:04:48
06:33:41	0:04:10
06:34:12	0:03:36
06:34:44	0:04:55
06:35:15	0:04:13
06:35:47	0:04:17
06:36:18	0:04:24
06:36:50	0:03:56
06:37:22	0:03:24
06:37:53	0:04:19
06:38:25	0:04:02
06:38:56	0:04:56
06:39:28	0:04:16
06:39:59	0:03:36
06:40:31	0:04:15
06:41:03	0:05:16
06:41:34	0:04:45
06:42:06	0:03:51
